0,1,2,3,6,7,27,28,34,35
0,1,2,4,5,7,18,22,29,33
0,1,2,3,6,7,24,29,34,35
0,1,2,3,6,17,23,24,29,35
0,1,2,3,4,5,7,18,24,31
0,1,2,3,6,7,22,23,29,30
0,1,2,4,5,7,18,24,28,37
0,1,2,3,4,6,7,17,23,30
0,1,2,3,4,7,23,24,30,37
0,1,2,3,4,6,17,23,24,30
0,1,2,3,5,6,7,20,24,29
0,1,2,3,4,5,6,7,22,23
0,1,2,3,4,5,6,7,23,24
0,1,2,3,4,7,18,20,31,37
0,1,2,3,4,7,18,31,37,38
0,1,2,3,4,5,6,7,20,39
0,1,2,3,6,7,20,29,30,39
0,1,3,4,6,7,20,23,30,33
0,1,2,3,6,7,29,30,36,37
0,1,2,4,5,7,18,24,31,35
0,1,2,3,5,7,16,18,29,33
0,1,2,3,11,12,20,21,24,30
0,1,2,3,11,12,20,21,30,35
0,1,2,3,11,23,24,29,37,38
0,1,2,10,11,12,24,28,34,38
0,1,2,3,11,12,24,29,35,38
0,1,2,3,11,12,20,21,24,29
0,1,2,3,11,12,20,21,24,31
0,1,2,3,11,12,20,21,22,23
0,1,2,3,11,12,20,21,29,30
0,1,3,9,11,12,21,24,27,33
0,1,3,9,11,12,21,27,29,35
0,1,2,3,11,12,23,24,29,38
0,1,2,3,11,12,20,21,35,39
0,1,2,3,11,12,20,22,29,31
0,1,2,3,11,12,20,22,30,32
0,1,2,3,11,12,23,29,32,34
0,1,3,9,11,12,21,24,35,38
0,1,3,9,11,12,21,23,29,32
0,1,2,3,11,12,20,23,29,31
0,1,2,3,11,12,20,29,32,38
0,1,3,9,11,12,21,27,29,33
0,1,3,9,11,12,21,27,29,38
0,1,2,3,11,12,20,24,29,35
0,1,2,3,11,12,20,24,29,38
0,1,2,3,11,12,23,29,34,38
0,1,3,9,11,12,21,24,27,30
0,1,2,10,11,12,20,28,30,38
0,1,2,3,11,12,20,21,22,38
0,1,2,3,11,12,29,32,33,34
0,1,2,3,11,12,20,21,38,39
0,1,2,3,22,29,30,35,36,37
0,1,2,3,11,23,31,32,37,38
0,1,2,3,11,12,23,29,32,38
0,1,2,3,11,12,20,31,32,39
0,1,2,3,11,12,20,21,30,31
0,1,2,10,11,12,22,28,32,38
0,1,3,9,11,12,21,29,32,35
0,1,2,3,11,12,20,21,29,32
0,1,2,3,11,12,20,21,29,33
0,1,2,3,11,12,20,21,22,39
0,1,2,3,11,12,20,21,22,34
0,1,2,3,11,12,20,21,34,39
0,1,2,3,11,12,20,21,24,32
0,1,2,3,11,12,20,29,31,38
0,1,2,3,11,29,31,32,34,35
0,1,2,3,11,31,32,34,35,38
0,1,3,9,11,12,20,24,29,32
0,1,3,9,11,12,20,29,32,38
0,1,2,3,11,12,21,22,30,33
0,1,2,3,11,12,23,24,32,35
0,1,2,3,11,12,21,22,23,30
0,1,2,3,11,12,21,22,23,31
0,1,2,3,11,12,21,22,30,34
0,1,2,3,11,12,21,22,30,31
0,1,2,3,11,12,21,23,30,32
0,1,2,3,11,12,21,23,31,33
0,1,2,10,12,20,22,24,28,36
0,1,2,3,11,21,23,29,30,35
0,1,3,9,11,12,21,27,33,35
0,1,2,3,11,23,24,29,30,35
0,1,2,10,11,12,20,24,30,34
0,1,2,3,21,22,29,30,35,36
0,1,2,10,12,20,22,28,30,34
0,1,3,9,11,12,21,27,33,39
0,1,2,10,11,12,20,22,30,32
0,1,2,3,11,12,21,22,23,24
0,1,2,3,11,12,21,23,32,34
0,1,3,9,11,12,21,24,30,32
0,1,2,3,11,20,21,23,24,37
0,1,2,3,11,20,21,23,24,38
0,1,2,3,11,12,21,23,33,38
0,1,2,10,12,21,31,33,36,39
0,1,3,9,11,12,24,30,32,38
0,1,2,3,11,20,21,34,37,38
0,1,2,3,11,20,21,35,37,38
0,1,2,3,11,12,21,23,25,33
0,1,2,3,11,12,21,23,33,36
0,1,2,3,11,12,22,24,32,34
0,1,2,10,11,12,21,23,31,33
0,1,2,3,20,25,32,33,38,39
0,1,2,3,11,20,22,24,33,38
0,1,2,3,11,12,21,22,23,32
0,1,2,3,11,24,25,32,33,38
0,1,2,3,24,25,32,33,38,39
0,1,2,10,12,23,25,31,33,37
0,1,3,9,11,12,22,24,30,36
0,1,2,3,11,12,24,25,33,34
0,1,2,3,11,12,24,25,33,36
